week_start,week_end,payments,payment_rune,rune_price_usd,payment_usd,cumulative_rune,cumulative_usd
2026-04-27,2026-05-04,438,2584.27154,0.51022213,1318.55251764,2584.27154,1318.55251764
2026-05-04,2026-05-11,947,5602.51298,0.56952605,3190.7770686,8186.78452,4509.32958624
2026-05-11,2026-05-18,600,3490.4644,0.59988378,2093.87297777,11677.24892,6603.20256401
